document_id,offsets,text,type,db_ids,split,deabbreviated_text,mention_id,limited_contextualized_mention
10051005,"[[729, 734]]",HNPCC,['Modifier'],['MESH:D003123'],train,hereditary non-polyposis cancer syndrome,10051005.6,"reported. Although this mutation was initially detected in four of 33 colorectal cancer families analysed from eastern England, more extensive analysis has reduced the frequency to four of 52 (8%) English [ENTITY_START] HNPCC [ENTITY_END] kindreds analysed. In contrast, the MSH2 mutation was identified in 10 of 20 (50%) separately identified colorectal families from Newfoundland. To investigate the origin of this mutation in colorectal cancer families"
10051005,"[[840, 850]]",colorectal,['Modifier'],['MESH:D015179'],train,colorectal,10051005.7,"England, more extensive analysis has reduced the frequency to four of 52 (8%) English HNPCC kindreds analysed. In contrast, the MSH2 mutation was identified in 10 of 20 (50%) separately identified [ENTITY_START] colorectal [ENTITY_END] families from Newfoundland. To investigate the origin of this mutation in colorectal cancer families from England (n = 4), Newfoundland (n = 10), and the United States (n = 3), haplotype"
10051005,"[[925, 942]]",colorectal cancer,['Modifier'],['MESH:D015179'],train,colorectal cancer,10051005.8,"(8%) English HNPCC kindreds analysed. In contrast, the MSH2 mutation was identified in 10 of 20 (50%) separately identified colorectal families from Newfoundland. To investigate the origin of this mutation in [ENTITY_START] colorectal cancer [ENTITY_END] families from England (n = 4), Newfoundland (n = 10), and the United States (n = 3), haplotype analysis using microsatellite markers linked to MSH2 was performed. Within the English and"
10051005,"[[1507, 1512]]",HNPCC,['Modifier'],['MESH:D003123'],train,hereditary non-polyposis cancer syndrome,10051005.9,"flanking markers (CA5 and D2S288) in eight of the Newfoundland families. These findings suggested a founder effect within Newfoundland similar to that reported by others for two MLH1 mutations in Finnish [ENTITY_START] HNPCC [ENTITY_END] families. We calculated age related risks of all, colorectal, endometrial, and ovarian cancers in nt943 + 3 A-- > T MSH2 mutation carriers (n = 76) for all patients and for"
10051005,"[[1563, 1607]]","colorectal, endometrial, and ovarian cancers",['CompositeMention'],"['MESH:D010051', 'MESH:D016889', 'MESH:D015179']",train,"colorectal, endometrial, and ovarian cancers",10051005.10,"These findings suggested a founder effect within Newfoundland similar to that reported by others for two MLH1 mutations in Finnish HNPCC families. We calculated age related risks of all, [ENTITY_START] colorectal, endometrial, and ovarian cancers [ENTITY_END] in nt943 + 3 A-- > T MSH2 mutation carriers (n = 76) for all patients and for men and women separately. For both sexes combined, the penetrances at"
10051005,"[[1777, 1784]]",cancers,['DiseaseClass'],['MESH:D009369'],train,cancers,10051005.11,"3 A-- > T MSH2 mutation carriers (n = 76) for all patients and for men and women separately. For both sexes combined, the penetrances at age 60 years for all [ENTITY_START] cancers [ENTITY_END] and for colorectal cancer were 0. 86 and 0. 57, respectively. The risk of colorectal cancer was significantly higher (p < 0. 01) in males than females (0. 63 v 0."
10051005,"[[1794, 1811]]",colorectal cancer,['SpecificDisease'],['MESH:D015179'],train,colorectal cancer,10051005.12,"[ENTITY_START] colorectal cancer were 0. 86 and 0. 57, respectively. The risk of colorectal cancer was significantly higher (p < 0. 01) in males than females (0. 63 v 0. 30 and 0. 84 v 0. 44 at ages 50 and 60 years, respectively). For females there was a high risk of endometrial cancer (0. 5 at age 60 years) and premenopausal ovarian cancer (0. 2 at 50 years). These intersex differences in colorectal cancer risks have implications for screening programmes and for attempts to identify colorectal cancer susceptibility modifiers. [ENTITY_END]"
10051005,"[[1860, 1877]]",colorectal cancer,['SpecificDisease'],['MESH:D015179'],train,colorectal cancer,10051005.13,"[ENTITY_START] colorectal cancer was significantly higher (p < 0. 01) in males than females (0. 63 v 0. 30 and 0. 84 v 0. 44 at ages 50 and 60 years, respectively). For females there was a high risk of endometrial cancer (0. 5 at age 60 years) and premenopausal ovarian cancer (0. 2 at 50 years). These intersex differences in colorectal cancer risks have implications for screening programmes and for attempts to identify colorectal cancer susceptibility modifiers. [ENTITY_END]"
10051005,"[[2047, 2065]]",endometrial cancer,['SpecificDisease'],['MESH:D016889'],train,endometrial cancer,10051005.14,"50 and 60 years, respectively). For females there was a high risk of [ENTITY_START] endometrial cancer (0. 5 at age 60 years) and premenopausal ovarian cancer (0. 2 at 50 years). These intersex differences in colorectal cancer risks have implications for screening programmes and for attempts to identify colorectal cancer susceptibility modifiers. [ENTITY_END]"
10051005,"[[2093, 2121]]",premenopausal ovarian cancer,['SpecificDisease'],['MESH:D010051'],train,premenopausal ovarian cancer,10051005.15,For females there was a high risk of endometrial cancer (0. 5 at age 60 years) and [ENTITY_START] premenopausal ovarian cancer (0. 2 at 50 years). These intersex differences in colorectal cancer risks have implications for screening programmes and for attempts to identify colorectal cancer susceptibility modifiers. [ENTITY_END]
10051005,"[[2172, 2189]]",colorectal cancer,['Modifier'],['MESH:D015179'],train,colorectal cancer,10051005.16,risk of endometrial cancer (0. 5 at age 60 years) and premenopausal ovarian cancer (0. 2 at 50 years). These intersex differences in [ENTITY_START] colorectal cancer risks have implications for screening programmes and for attempts to identify colorectal cancer susceptibility modifiers. [ENTITY_END]
10051005,"[[2268, 2285]]",colorectal cancer,['Modifier'],['MESH:D015179'],train,colorectal cancer,10051005.17,at age 60 years) and premenopausal ovarian cancer (0. 2 at 50 years). These intersex differences in colorectal cancer risks have implications for screening programmes and for attempts to identify [ENTITY_START] colorectal cancer susceptibility modifiers. [ENTITY_END]
10051007,"[[16, 34]]",Huntington disease,['SpecificDisease'],['MESH:D006816'],train,Huntington disease,10051007.1,Age of onset in [ENTITY_START] Huntington disease [ENTITY_END] : sex specific influence of apolipoprotein E genotype and normal CAG repeat length. Age of onset (AO) of Huntington disease (HD) is known to be correlated with the length of an
10051007,"[[140, 158]]",Huntington disease,['SpecificDisease'],['MESH:D006816'],train,Huntington disease,10051007.2,"Age of onset in Huntington disease : sex specific influence of apolipoprotein E genotype and normal CAG repeat length. Age of onset (AO) of [ENTITY_START] Huntington disease [ENTITY_END] (HD) is known to be correlated with the length of an expanded CAG repeat in the HD gene. Apolipoprotein E (APOE) genotype, in turn, is known to influence AO in Alzheimer"
10051007,"[[160, 162]]",HD,['SpecificDisease'],['MESH:D006816'],train,Huntington disease,10051007.3,"Age of onset in Huntington disease : sex specific influence of apolipoprotein E genotype and normal CAG repeat length. Age of onset (AO) of Huntington disease [ENTITY_START] (HD) [ENTITY_END] is known to be correlated with the length of an expanded CAG repeat in the HD gene. Apolipoprotein E (APOE) genotype, in turn, is known to influence AO in Alzheimer disease,"
10051007,"[[239, 241]]",HD,['Modifier'],['MESH:D006816'],train,Huntington disease,10051007.4,"apolipoprotein E genotype and normal CAG repeat length. Age of onset (AO) of Huntington disease (HD) is known to be correlated with the length of an expanded CAG repeat in the [ENTITY_START] HD [ENTITY_END] gene. Apolipoprotein E (APOE) genotype, in turn, is known to influence AO in Alzheimer disease, rendering the APOE gene a likely candidate to affect AO in other neurological diseases too. We"
10051007,"[[319, 336]]",Alzheimer disease,['SpecificDisease'],['MESH:D000544'],train,Alzheimer disease,10051007.5,"disease (HD) is known to be correlated with the length of an expanded CAG repeat in the HD gene. Apolipoprotein E (APOE) genotype, in turn, is known to influence AO in [ENTITY_START] Alzheimer disease, [ENTITY_END] rendering the APOE gene a likely candidate to affect AO in other neurological diseases too. We therefore determined APOE genotype and normal CAG repeat length in the HD gene for 138"
10051007,"[[403, 424]]",neurological diseases,['DiseaseClass'],['MESH:D020271'],train,neurological diseases,10051007.6,"repeat in the HD gene. Apolipoprotein E (APOE) genotype, in turn, is known to influence AO in Alzheimer disease, rendering the APOE gene a likely candidate to affect AO in other [ENTITY_START] neurological diseases [ENTITY_END] too. We therefore determined APOE genotype and normal CAG repeat length in the HD gene for 138 HD patients who were previously analysed with respect to CAG repeat length. Genotyping for"
10051007,"[[504, 506]]",HD,['Modifier'],['MESH:D006816'],train,Huntington disease,10051007.7,"AO in Alzheimer disease, rendering the APOE gene a likely candidate to affect AO in other neurological diseases too. We therefore determined APOE genotype and normal CAG repeat length in the [ENTITY_START] HD [ENTITY_END] gene for 138 HD patients who were previously analysed with respect to CAG repeat length. Genotyping for APOE was performed blind to clinical information. In addition to highlighting the effect of"
10051007,"[[520, 522]]",HD,['Modifier'],['MESH:D006816'],train,Huntington disease,10051007.8,rendering the APOE gene a likely candidate to affect AO in other neurological diseases too. We therefore determined APOE genotype and normal CAG repeat length in the HD gene for 138 [ENTITY_START] HD [ENTITY_END] patients who were previously analysed with respect to CAG repeat length. Genotyping for APOE was performed blind to clinical information. In addition to highlighting the effect of the normal repeat length
10051007,"[[760, 762]]",HD,['SpecificDisease'],['MESH:D006816'],train,Huntington disease,10051007.9,"with respect to CAG repeat length. Genotyping for APOE was performed blind to clinical information. In addition to highlighting the effect of the normal repeat length upon AO in maternally inherited [ENTITY_START] HD [ENTITY_END] and in male patients, we show that the APOE epsilon2epsilon3 genotype is associated with significantly earlier AO in males than in females. Such a sex difference in AO was not apparent"
10051007,"[[1051, 1068]]",neurodegeneration,['DiseaseClass'],['MESH:D019636'],train,neurodegeneration,10051007.10,males than in females. Such a sex difference in AO was not apparent for any of the other APOE genotypes. Our findings suggest that subtle differences in the course of the [ENTITY_START] neurodegeneration [ENTITY_END] in HD may allow interacting genes to exert gender specific effects upon AO.
10051007,"[[1073, 1075]]",HD,['SpecificDisease'],['MESH:D006816'],train,Huntington disease,10051007.11,difference in AO was not apparent for any of the other APOE genotypes. Our findings suggest that subtle differences in the course of the neurodegeneration in [ENTITY_START] HD may allow interacting genes to exert gender specific effects upon AO. [ENTITY_END]
100562,"[[0, 58]]",Familial deficiency of the seventh component of complement,['SpecificDisease'],['OMIM:610102'],train,Familial deficiency of the seventh component of complement,100562.1,[ENTITY_START] Familial deficiency of the seventh component of complement [ENTITY_END] associated with recurrent bacteremic infections due to Neisseria. The serum of a 29-year old woman with a recent episode of disseminated gonococcal infection and a history of meningococcal
100562,"[[85, 123]]",bacteremic infections due to Neisseria,['DiseaseClass'],['MESH:D016870'],train,bacteremic infections due to Neisseria,100562.2,Familial deficiency of the seventh component of complement associated with recurrent [ENTITY_START] bacteremic infections due to Neisseria. [ENTITY_END] The serum of a 29-year old woman with a recent episode of disseminated gonococcal infection and a history of meningococcal meningitis and arthritis as a child was found to
100562,"[[183, 216]]",disseminated gonococcal infection,['SpecificDisease'],['MESH:D004673'],train,disseminated gonococcal infection,100562.3,Familial deficiency of the seventh component of complement associated with recurrent bacteremic infections due to Neisseria. The serum of a 29-year old woman with a recent episode of [ENTITY_START] disseminated gonococcal infection [ENTITY_END] and a history of meningococcal meningitis and arthritis as a child was found to lack serum hemolytic complement activity. The seventh component of complement (C7) was not detected by functional
100562,"[[234, 258]]",meningococcal meningitis,['SpecificDisease'],['MESH:D008585'],train,meningococcal meningitis,100562.4,"seventh component of complement associated with recurrent bacteremic infections due to Neisseria. The serum of a 29-year old woman with a recent episode of disseminated gonococcal infection and a history of [ENTITY_START] meningococcal meningitis [ENTITY_END] and arthritis as a child was found to lack serum hemolytic complement activity. The seventh component of complement (C7) was not detected by functional or immunochemical assays, whereas other components were"
100562,"[[263, 272]]",arthritis,['DiseaseClass'],['MESH:D001168'],train,arthritis,100562.5,"complement associated with recurrent bacteremic infections due to Neisseria. The serum of a 29-year old woman with a recent episode of disseminated gonococcal infection and a history of meningococcal meningitis and [ENTITY_START] arthritis [ENTITY_END] as a child was found to lack serum hemolytic complement activity. The seventh component of complement (C7) was not detected by functional or immunochemical assays, whereas other components were normal by"
100562,"[[734, 758]]",absence of functional C7,['Modifier'],['OMIM:610102'],train,absence of functional C7,100562.6,"assessment. Her fresh serum lacked complement-mediated bactericidal activity against Neisseria gonorrhoeae, but the addition of fresh normal serum or purified C7 restored bactericidal activity as well as hemolytic activity. The [ENTITY_START] absence of functional C7 [ENTITY_END] activity could not be accounted for on the basis of an inhibitor. Opsonization and generation of chemotactic activity functioned normally. Complete absence of C7 was also found in one sibling"
100562,"[[898, 920]]",Complete absence of C7,['SpecificDisease'],['OMIM:610102'],train,Complete absence of C7,100562.7,as well as hemolytic activity. The absence of functional C7 activity could not be accounted for on the basis of an inhibitor. Opsonization and generation of chemotactic activity functioned normally. [ENTITY_START] Complete absence of C7 [ENTITY_END] was also found in one sibling who had the clinical syndrome of meningococcal meningitis and arthritis as a child and in this siblings clinically well eight-year-old son. HLA histocompatibility typing
100562,"[[984, 1008]]",meningococcal meningitis,['SpecificDisease'],['MESH:D008585'],train,meningococcal meningitis,100562.8,for on the basis of an inhibitor. Opsonization and generation of chemotactic activity functioned normally. Complete absence of C7 was also found in one sibling who had the clinical syndrome of [ENTITY_START] meningococcal meningitis [ENTITY_END] and arthritis as a child and in this siblings clinically well eight-year-old son. HLA histocompatibility typing of the family members did not demonstrate evidence for genetic linkage of C7 deficiency with
100562,"[[1013, 1022]]",arthritis,['DiseaseClass'],['MESH:D001168'],train,arthritis,100562.9,basis of an inhibitor. Opsonization and generation of chemotactic activity functioned normally. Complete absence of C7 was also found in one sibling who had the clinical syndrome of meningococcal meningitis and [ENTITY_START] arthritis [ENTITY_END] as a child and in this siblings clinically well eight-year-old son. HLA histocompatibility typing of the family members did not demonstrate evidence for genetic linkage of C7 deficiency with the major
100562,"[[1196, 1209]]",C7 deficiency,['SpecificDisease'],['OMIM:610102'],train,C7 deficiency,100562.10,histocompatibility typing of the family members did not demonstrate evidence for genetic linkage of [ENTITY_START] C7 deficiency with the major histocompatibility loci. This report represents the first cases of C7 deficiency associated with infectious complications and suggests that bactericidal activity may be important in host defense against bacteremic neisseria infections. [ENTITY_END]
100562,"[[1292, 1305]]",C7 deficiency,['SpecificDisease'],['OMIM:610102'],train,C7 deficiency,100562.11,not demonstrate evidence for genetic linkage of C7 deficiency with the major histocompatibility loci. This report represents the first cases of [ENTITY_START] C7 deficiency associated with infectious complications and suggests that bactericidal activity may be important in host defense against bacteremic neisseria infections. [ENTITY_END]
100562,"[[1428, 1459]]",bacteremic neisseria infections,['SpecificDisease'],['MESH:D016870'],train,bacteremic neisseria infections,100562.12,with the major histocompatibility loci. This report represents the first cases of C7 deficiency associated with infectious complications and suggests that bactericidal activity may be important in host defense against [ENTITY_START] bacteremic neisseria infections. [ENTITY_END]
10064668,"[[23, 29]]",cancer,['DiseaseClass'],['MESH:D009369'],train,cancer,10064668.1,Increased incidence of [ENTITY_START] cancer [ENTITY_END] in patients with cartilage-hair hypoplasia. OBJECTIVE Previous reports have suggested an increased risk of cancer among patients with cartilage-hair hypoplasia (CHH). This study was carried out to further evaluate this risk
10064668,"[[47, 72]]",cartilage-hair hypoplasia,['SpecificDisease'],['MESH:C535916'],train,cartilage-hair hypoplasia,10064668.2,Increased incidence of cancer in patients with [ENTITY_START] cartilage-hair hypoplasia. [ENTITY_END] OBJECTIVE Previous reports have suggested an increased risk of cancer among patients with cartilage-hair hypoplasia (CHH). This study was carried out to further evaluate this risk among patients with CHH and
10064668,"[[138, 144]]",cancer,['DiseaseClass'],['MESH:D009369'],train,cancer,10064668.3,"[ENTITY_START] cancer among patients with cartilage-hair hypoplasia (CHH). This study was carried out to further evaluate this risk among patients with CHH and their first-degree relatives. STUDY DESIGN One hundred twenty-two patients with CHH were identified through 2 countrywide epidemiologic surveys in 1974 and in 1986. Their parents and nonaffected siblings were identified through the Population Register Center. This cohort underwent follow-up for cancer incidence through the Finnish Cancer Registry to the end of 1995. RESULTS A statistically significant excess risk of cancer was seen among the patients with CHH (standardized incidence ratio 6. 9, 95% confidence interval 2. 3 to 16), which was mainly attributable to non-Hodgkins lymphoma (standardized incidence ratio 90, 95% confidence interval 18 to 264). In addition, a significant excess risk of basal cell carcinoma was seen (standardized incidence ratio 35, 95% confidence interval 7. 2 to 102). The cancer incidence among the siblings or the parents did not differ from the average cancer incidence in the Finnish population. CONCLUSIONS This study confirms an increased risk of cancer, especially non-Hodgkins lymphoma, probably attributable to defective immunity, among patients with CHH. [ENTITY_END]"
10064668,"[[165, 190]]",cartilage-hair hypoplasia,['SpecificDisease'],['MESH:C535916'],train,cartilage-hair hypoplasia,10064668.4,"[ENTITY_START] cartilage-hair hypoplasia (CHH). This study was carried out to further evaluate this risk among patients with CHH and their first-degree relatives. STUDY DESIGN One hundred twenty-two patients with CHH were identified through 2 countrywide epidemiologic surveys in 1974 and in 1986. Their parents and nonaffected siblings were identified through the Population Register Center. This cohort underwent follow-up for cancer incidence through the Finnish Cancer Registry to the end of 1995. RESULTS A statistically significant excess risk of cancer was seen among the patients with CHH (standardized incidence ratio 6. 9, 95% confidence interval 2. 3 to 16), which was mainly attributable to non-Hodgkins lymphoma (standardized incidence ratio 90, 95% confidence interval 18 to 264). In addition, a significant excess risk of basal cell carcinoma was seen (standardized incidence ratio 35, 95% confidence interval 7. 2 to 102). The cancer incidence among the siblings or the parents did not differ from the average cancer incidence in the Finnish population. CONCLUSIONS This study confirms an increased risk of cancer, especially non-Hodgkins lymphoma, probably attributable to defective immunity, among patients with CHH. [ENTITY_END]"
10064668,"[[192, 195]]",CHH,['SpecificDisease'],['MESH:C535916'],train,cartilage-hair hypoplasia,10064668.5,Increased incidence of cancer in patients with cartilage-hair hypoplasia. OBJECTIVE Previous reports have suggested an increased risk of cancer among patients with cartilage-hair hypoplasia [ENTITY_START] (CHH). [ENTITY_END] This study was carried out to further evaluate this risk among patients with CHH and their first-degree relatives. STUDY DESIGN One hundred twenty-two patients with CHH were identified through 2 countrywide
10064668,"[[275, 278]]",CHH,['SpecificDisease'],['MESH:C535916'],train,cartilage-hair hypoplasia,10064668.6,"[ENTITY_START] CHH and their first-degree relatives. STUDY DESIGN One hundred twenty-two patients with CHH were identified through 2 countrywide epidemiologic surveys in 1974 and in 1986. Their parents and nonaffected siblings were identified through the Population Register Center. This cohort underwent follow-up for cancer incidence through the Finnish Cancer Registry to the end of 1995. RESULTS A statistically significant excess risk of cancer was seen among the patients with CHH (standardized incidence ratio 6. 9, 95% confidence interval 2. 3 to 16), which was mainly attributable to non-Hodgkins lymphoma (standardized incidence ratio 90, 95% confidence interval 18 to 264). In addition, a significant excess risk of basal cell carcinoma was seen (standardized incidence ratio 35, 95% confidence interval 7. 2 to 102). The cancer incidence among the siblings or the parents did not differ from the average cancer incidence in the Finnish population. CONCLUSIONS This study confirms an increased risk of cancer, especially non-Hodgkins lymphoma, probably attributable to defective immunity, among patients with CHH. [ENTITY_END]"
10064668,"[[364, 367]]",CHH,['SpecificDisease'],['MESH:C535916'],train,cartilage-hair hypoplasia,10064668.7,among patients with cartilage-hair hypoplasia (CHH). This study was carried out to further evaluate this risk among patients with CHH and their first-degree relatives. STUDY DESIGN One hundred twenty-two patients with [ENTITY_START] CHH were [ENTITY_END] identified through 2 countrywide epidemiologic surveys in 1974 and in 1986. Their parents and nonaffected siblings were identified through the Population Register Center. This cohort underwent follow-up for cancer incidence through
10064668,"[[580, 586]]",cancer,['Modifier'],['MESH:D009369'],train,cancer,10064668.8,"with CHH were identified through 2 countrywide epidemiologic surveys in 1974 and in 1986. Their parents and nonaffected siblings were identified through the Population Register Center. This cohort underwent follow-up for [ENTITY_START] cancer incidence [ENTITY_END] through the Finnish Cancer Registry to the end of 1995. RESULTS A statistically significant excess risk of cancer was seen among the patients with CHH (standardized incidence ratio 6. 9, 95%"
10064668,"[[705, 711]]",cancer,['DiseaseClass'],['MESH:D009369'],train,cancer,10064668.9,"were identified through the Population Register Center. This cohort underwent follow-up for cancer incidence through the Finnish Cancer Registry to the end of 1995. RESULTS A statistically significant excess risk of [ENTITY_START] cancer was [ENTITY_END] seen among the patients with CHH (standardized incidence ratio 6. 9, 95% confidence interval 2. 3 to 16), which was mainly attributable to non-Hodgkins lymphoma (standardized incidence ratio 90, 95% confidence"
10064668,"[[745, 748]]",CHH,['SpecificDisease'],['MESH:C535916'],train,cartilage-hair hypoplasia,10064668.10,"Increased incidence of cancer in patients with cartilage-hair hypoplasia.
OBJECTIVE  Previous reports have suggested an increased risk of cancer among patients with cartilage-hair hypoplasia (CHH). This study was carried out to further evaluate this risk among patients with CHH and their first-degree relatives. STUDY DESIGN  One hundred twenty-two patients with CHH were identified through 2 countrywide epidemiologic surveys in 1974 and in 1986. Their parents and nonaffected siblings were identified through the Population Register Center. This cohort underwent follow-up for cancer incidence through the Finnish Cancer Registry to the end of 1995. RESULTS  A statistically significant excess risk of cancer was seen among the patients with CHH (standardized incidence ratio 6. 9, 95% confidence interval 2. 3 to 16), which was mainly attributable to non-Hodgkins lymphoma  (standardized incidence ratio 90, 95% confidence interval 18 to 264). In addition, a significant excess risk of basal cell carcinoma was seen (standardized incidence ratio 35, 95% confidence interval 7. 2 to 102). The cancer incidence among the siblings or the parents did not differ from the average cancer incidence in the Finnish population. CONCLUSIONS  This study confirms an increased risk of cancer, especially non-Hodgkins lymphoma, probably attributable to defective immunity, among patients with CHH."
10064668,"[[855, 876]]",non-Hodgkins lymphoma,['SpecificDisease'],['MESH:D008228'],train,non-Hodgkins lymphoma,10064668.11,"statistically significant excess risk of cancer was seen among the patients with CHH (standardized incidence ratio 6. 9, 95% confidence interval 2. 3 to 16), which was mainly attributable to [ENTITY_START] non-Hodgkins lymphoma (standardized [ENTITY_END] incidence ratio 90, 95% confidence interval 18 to 264). In addition, a significant excess risk of basal cell carcinoma was seen (standardized incidence ratio 35, 95% confidence interval 7. 2"
10064668,"[[990, 1010]]",basal cell carcinoma,['SpecificDisease'],['MESH:D002280'],train,basal cell carcinoma,10064668.12,"confidence interval 2. 3 to 16), which was mainly attributable to non-Hodgkins lymphoma (standardized incidence ratio 90, 95% confidence interval 18 to 264). In addition, a significant excess risk of [ENTITY_START] basal cell carcinoma was [ENTITY_END] seen (standardized incidence ratio 35, 95% confidence interval 7. 2 to 102). The cancer incidence among the siblings or the parents did not differ from the average cancer incidence in"
10064668,"[[1096, 1102]]",cancer,['Modifier'],['MESH:D009369'],train,cancer,10064668.13,"90, 95% confidence interval 18 to 264). In addition, a significant excess risk of basal cell carcinoma was seen (standardized incidence ratio 35, 95% confidence interval 7. 2 to 102). The [ENTITY_START] cancer incidence [ENTITY_END] among the siblings or the parents did not differ from the average cancer incidence in the Finnish population. CONCLUSIONS This study confirms an increased risk of cancer, especially non-Hodgkins lymphoma, probably"
10064668,"[[1179, 1185]]",cancer,['Modifier'],['MESH:D009369'],train,cancer,10064668.14,"basal cell carcinoma was seen (standardized incidence ratio 35, 95% confidence interval 7. 2 to 102). The cancer incidence among the siblings or the parents did not differ from the average [ENTITY_START] cancer incidence [ENTITY_END] in the Finnish population. CONCLUSIONS This study confirms an increased risk of cancer, especially non-Hodgkins lymphoma, probably attributable to defective immunity, among patients with CHH."
10064668,"[[1277, 1283]]",cancer,['DiseaseClass'],['MESH:D009369'],train,cancer,10064668.15,"to 102). The cancer incidence among the siblings or the parents did not differ from the average cancer incidence in the Finnish population. CONCLUSIONS This study confirms an increased risk of [ENTITY_START] cancer, especially [ENTITY_END] non-Hodgkins lymphoma, probably attributable to defective immunity, among patients with CHH."
10064668,"[[1296, 1317]]",non-Hodgkins lymphoma,['SpecificDisease'],['MESH:D008228'],train,non-Hodgkins lymphoma,10064668.16,"cancer incidence among the siblings or the parents did not differ from the average cancer incidence in the Finnish population. CONCLUSIONS This study confirms an increased risk of cancer, especially [ENTITY_START] non-Hodgkins lymphoma, probably [ENTITY_END] attributable to defective immunity, among patients with CHH."
